,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
COD.,NOME,TIPO,ENDERECO,CIDADE,TELEFONE,CPF/CNPJ,R.G./I.E.,DT.ANIV.,BAIRRO,COMPLEMENTO,CEP,SIT.PESSOA/CLIENTE,EMAIL,,
2,X RED COMERCIO DE TECIDOS LTDA,J,"R R ALMIRANTE BARROSO,206",SAO PAULO / SP,1138582029,25.216.638/0001-95,141047410114,,BRAS,,3025000,Ativo / Inativo,loja@x5tecidos.com.br,,
3,MAC GIANT CONFECCOES LTDA,J,"R R ANITA GARIBALDI,440",DIVINOPOLIS / MG,3732122696,22.111.181/0001-66,2235142360002,,CATALAO,,35501208,Ativo / Ativo,macgiant@macgiant.com.br,,
4,J MARIO BEZERRA ALVES TECIDOS,J,"R R DOUTOR SILVIO MONTEIRO,31",SANTA CRUZ DO CAPIBARIBE / PE,8137051697,04.271.213/0001-09,27894266,,CENTRO,********,55192280,Ativo / Inativo,jmariotecidos@hotmail.com,,
5,MX72 MANUFATURA DA MODA LTDA,J,"R R CASCALHO RICO,684",DIVINOPOLIS / MG,3732121625,02.890.528/0001-09,2230023350092,,SAO JOSE,,35501232,Ativo / Ativo,mjsmarcelo.1903@gmail.com,,
6,CONFIDENCIAL CONFECCOES LTDA,J,"R R FAGUNDES VARELA,1660",DIVINOPOLIS / MG,3732213614,10.409.095/0001-55,10948680067,,SAO JOSE,LOJA,35501283,Ativo / Ativo,faturamento@camisariaaga.com.br,,
7,A DOMINANTE CALCADOS EIRELI,J,"R AV SETE DE SETEMBRO,3500",GOVERNADOR VALADARES / MG,3332793806,20.598.140/0001-10,2770440380040,,CENTRO,LOJA  130/131,35010173,Ativo / Inativo,notasdfm@hotmail.com,,
8,A H PEREIRA DE SA,J,"R R RIACHUELO,170",TERESINA / PI,8632217467,12.206.660/0004-55,194304671,,CENTRO,SUL,64001050,Ativo / Ativo,jademardantas@bol.com.br,,
9,A V MARREIROS CAMPOS EIRELI,J,"AV AV LEOPOLDO PERES,865",MANAUS / AM,9232158610,30.578.197/0001-01,54021065,,EDUCANDOS,LETRA A,69070250,Ativo / Inativo,valter@tapajostecidos.com.br,,
10,MONTES CLAROS INDUSTRIA TEXTIL EIRELI,J,"AV AVENIDA VIUVA PACULDINO,990",MONTES CLAROS / MG,3832157321,09.499.183/0001-06,10679880054,,JARAGUA II,,39404847,Ativo / Ativo,faturamento@fbktex.com.br,,
11,A.M.C. TEXTIL LTDA.,J,"ROD ROD ANTONIO HEILL,4855",ITAJAI / SC,4732473000,75.364.570/0007-55,255249187,,ITAIPAVA,KM 5,88316900,Ativo / Ativo,silvana.pertoncini@amctextil.com.br,,
12,COOPERTEXTIL COOP TR PROD TEXTIL P MINAS,J,"R MELO GUIMARAES,262",PARA DE MINAS / MG,3732376100,02.294.505/0001-31,4717255300002,,NOSSA SENHORA DE FATIMA,,35660163,Ativo / Ativo,coopercarine@hotmail.com,,
13,ACILIO BREDA IND E COM DE CONFECCOES LTDA,J,"R R JOAO TEIXEIRA DA SILVA,298",SAO PAULO / SP,1126721900,60.840.956/0002-04,104673599114,,VILA INVERNADA,,3348040,Ativo / Ativo,nfefabrica@bredaalfaiataria.com.br,,
14,FOXSTEXTIL COMERCIO DE TECIDOS LTDA,J,"R ALM BARROSO,398",SAO PAULO / SP,1122928181,11.420.277/0001-90,148937030111,,BRAS,TERREO N 400,3025000,Ativo / Ativo,marcio@foxstextil.com.br,,
15,MALHARIA CATARINENSE IND COM ART VEST LTDA,J,"RUA R LUIZ NOVAK,140",ICARA / SC,4834420022,07.814.168/0001-80,255154976,,PRESIDENTE VARGAS,,88820000,Ativo / Inativo,compras@codigozero.com.br,,
17,ADALBERTO DE OLIVEIRA JUNIOR - CONFECCOES,J,"R R ARAPONGAS,60",LONDRINA / PR,4333231209,32.735.729/0001-00,9080430148,,DOM BOSCO,ANEXO A,86060440,Ativo / Inativo,luisfelipe@organteceseoria.com.br,,
18,ANDERSON DO AMARAL NAVEGA,J,"R AV CORONEL BALBINO,0",ITAPERUNA / RJ,24981803903,13.011.049/0001-91,11354149,,RAPOSO,,28333000,Ativo / Ativo,furacaododstecidos@hotmail.com,,
19,ANDRAMA CONFECCOES LTDA,J,"R RAIMUNDO CORREIA,55",BLUMENAU / SC,4733376145,08.683.478/0001-75,255348525,,SALTO WEISSBACH,,89032030,Ativo / Inativo,nfe@andrama.com.br,,
20,ANTONIO RIVALDO DA SILVA CONFECCOES,J,"R R TIERS,184",SAO PAULO / SP,1120811070,26.757.517/0001-13,141572774113,,PARI,LOJA  151,3031000,Ativo / Inativo,antoniorivaldo79@gmail.com,,
21,ARAUCARIA COMERCIO DE TECIDOS LTDA,J,"R R DOUTOR BLEY ZORNIG,1139",CURITIBA / PR,4132634879,13.053.440/0001-59,9055694653,,BOQUEIRAO,,81730350,Ativo / Inativo,araucariatecidos@gmail.com,,
22,ARK-Z ROUPAS INDUSTRIA E COMERCIO  LTDA,J,"R R GUAJAJARAS,1596",BELO HORIZONTE / MG,3133375376,41.868.209/0001-59,627981760096,,BARRO PRETO,LOJA 102 -C. ALT.MAL,30180101,Ativo / Inativo,julieta@mitt.com.br,,
23,ARMARINHOS E ARTESANATOS SETTI LTDA,J,"AV BRASIL,805",FOZ DO IGUACU / PR,4530252671,10.302.939/0001-64,9045259444,,CENTRO,LOJA  02,85851000,Ativo / Inativo,njacomel2@yahoo.com,,
24,ARTE & CORTE TEXTIL LTDA,J,"RUA R BLUMENAU,1239",TIMBO / SC,4733827219,95.801.692/0001-83,252587260,,BAIRRO DOS ESTADOS,SALA 4,89120000,Ativo / Inativo,lu.vendamoda@hotmail.com,,
25,J A LUIZ DA SILVA REPRESENTACOES,J,"RUA R CARLOS BERNO,32",LARANJAL / MG,3234241569,27.738.647/0001-71,ISENTO,,CENTRO,,36760000,Ativo / Ativo,jarepresentante@bol.com.br,,
