Artigo,Codigo,Preco,Observacao
ARIZONA TWO TONER (LD) (2) 2X2 100% ALG,PA EST LD 1057,"10,9",
CHAMBRAY TWO TONE (LD) 100% ALGODAO,PA LISO LD 1032,"9,9",
FINE FLEX JEANS LD 65%ALG 32%POL 3%ELAS,PA LISO LD 1004,"12,9",
HAVANA CONFORT (LD) 97% ALGO 3% ELAS,PA LISO LD 1090,"10,9",
LINHO CARAIVA (LD) 55%ALG 30%VIS 15%LIN,PA LISO LD 1107,"11,1",
LINHO DELUXE (LD) 55%ALG 30%VIS 15%LIN,PA LISO LD 1002,"10,67",
LINHO DELUXE (LD) 55%ALG 30%VISC 15%LIN,PA EST LD 1002,"10,67",
LINHO DELUXE MAQUINET (LD) 55%A30%V15%LI,PA LISO LD 1021,"10,67",
LINHO DELUXE MAQUINETADO (LD) 55% 30% 15,PA EST LD 1021,"10,67",
LINHO IPANEMA (LD) 55%ALG 20%VIS 25%LIN,PA EST LD 1053,"11,91",
LINHO IPANEMA (LD) 55%ALG 20%VIS 25%LIN,PA LISO LD 1053,"11,91",
LINHO MAQUINETADO (LD) 60%ALG 40% LINHO,PA EST LD 1078,"9,71",
LINHO PANAMA (LD) 55%ALG15%LINHO30%VISC,PA EST LD 1044,"10,28",
LINHO PANAMA (LD) 55%ALG15%LINHO30%VISC,PA LISO LD 1044,"10,28",
"LISTRADO MEDIO 0,6 X 0,6 (LD) 100% ALG",PA EST LD 1104,"10,9",
MAQTTON LINHO (LD) 55%ALG 30%VISC 15%LIN,PA LISO LD 1098,"10,67",
MAQTTON RUSTIC (LD) 100%ALGODAO,PA LISO LD 1038,"9,85",
PANAMA C/ELAS (LD) 70%A 15%L 12% VIS3%EL,PA LISO LD 1052,"11,89",
PORTO FINO MAQUINETADO (LD) 100%ALGODAO,PA LISO LD 1100,"9,85",
SARJA BYSKAY FLEX (LD) 97% ALG 3%ELAS,PA LISO LD 1097,"12,9",
SARJA CARIBE FLEX (LD) 97%ALG 3% ELAS,PA LISO LD 1017,"12,9",
SARJA CARIBE LIGHT (LD) 97% ALG 3% ELAS,PA LISO LD 1024,"12,9",
SARJA FLEX 160 (LD) 97% ALG 3% ELAS,PA LISO LD 1033,"12,9",
SARJA NATURE (LD) 78%AL 15%VI 5%LI 2%EL,PA LISO LD 1006,"13,9",
SARJA ZARA (LD) 100% ALGODAO,PA EST LD 1045,"9,9",
SARJA ZARA (LD) 100% ALGODAO,PA LISO LD 1045,"9,9",
"SIERRA LINHO MAQUINE (LD) 93,3ALG 6,7LI",PA LISO LD 1105,"10,67",
SIERRA MAQUINETADO (LD) 100% ALGODAO,PA LISO LD 1096,"9,85",
SORRENTO MAQUINETADO (LD) 100% ALGODAO,PA LISO LD 1101,"9,85",
TECIDO AMALFI LEVE (LD) (07) 100%ALG,PA EST LD 1038,"11,1",
TECIDO AMALFI RUSTIC (LD) 100% ALGODAO,PA LISO LD 1084,"11,1",
TECIDO BARI RUSTIC (LD) 100% ALGODAO,PA LISO LD 1091,"11,1",
TECIDO LINEA RUSTIC (LD) 100% ALGODAO,PA LISO LD 1095,"11,1",
TECIDO MEDITERRANEO (LD) 100% VISCOSE,PA LISO LD 1087,"6,9",
TECIDO RAYON BALLI (LD) 100% VISCOSE,PA LISO LD 1031,"6,9",
