Descrição,Grupo,Preço,Observação
ARIZONA TWO TONER (2) 2X2 100% ALGODAO,PA EST 1057,"17,26",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
CHAMBRAY TWO TONE 100% ALGODAO,PA LISO 1032,"14,22",PROGRAMACAO
CHAMBRAY TWO TONE 160 100% ALGODAO,PA LISO 1113,"14,22",PROGRAMACAO
CIERRO LINHO 85% ALGODAO 15% LINHO,PA LISO 1103,"14,49",PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
CIERRO RUSTIC 100%ALGODAO,PA LISO 1102,"13,68",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
COTTON PAPER 100% ALGODAO,PA LISO 1106,"13,35",LANCAMENTO - PROGRAMACAO
FINE FLEX JEANS 65% ALG 32% POL 3% ELAS,PA LISO 1004,"15,64",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO BELGA 60% ALGODAO 40% LINHO,PA LISO 1089,"16,9",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO CARAIVA 55%ALG 30%VIS 15%LIN,PA LISO 1107,"17,8",LANCAMENTO - PROGRAMACAO
LINHO DELUXE (DIGITAL) 55%AL 30%VI 15%LI,PA DIG EST 1002,"19,67",PROGRAMACAO
LINHO DELUXE 55% ALG 30% VISC 15% LINHO,PA EST 1002,"14,22",PROGRAMACAO
LINHO DELUXE 55%ALG 30%VISC 15%LIN,PA LISO 1002,"13,68",PROGRAMACAO
LINHO DELUXE MAQUINETADO 55%AL30%VIS15%L,PA LISO 1021,"14,22",- PROGRAMACAO
LINHO IPANEMA 55% ALGO 20% VISC 25% LINH,PA LISO 1053,"16,96",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO IPANEMA 55%ALG 20%VIS 25%LIN,PA DIG EST 1053,"18,69",SOMENTE EXCLUSIVO
LINHO IPANEMA 55%ALGODAO 20%VISCO 25%LIN,PA EST 1053,"16,96",SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO PANAMA (DIGITAL) 55%AL15%LIN30%VIS,PA DIG EST 1044,"18,69",PROGRAMACAO
LINHO PANAMA 55% ALG 15% LINHO 30% VISCO,PA EST 1044,"14,96",PROGRAMACAO
LINHO PANAMA 55%ALG 15%LIN 30%VIS,PA LISO 1044,"14,96",PROGRAMACAO
LINHO RUSTIC 55% ALG 15% LIN 30% VIS,PA EST 1092,"14,96",LANCAMENTO - PROGRAMACAO
"LISTRADO MEDIO 0,6 X 0,6 100% ALGODAO",PA EST 1104,"16,01",PROGRAMACAO
"LISTRADO MEDIO ALVEJADO 0,6X0,6 100% ALG",PA EST 1108,"16,01",PROGRAMACAO
MAQTTON LINHO 55%ALG 30%VISC 15%LIN,PA LISO 1098,"14,49",PROGRAMACAO
MAQTTON RUSTIC 100%ALGODAO,PA LISO 1038,"13,68",PRONTA ENTREGA -AGUARDAR UMA NOVA PROGRAMACAO
PANAMA C/ ELAS 70%ALG 15%LIN 12%VIS 3%EL,PA LISO 1052,"15,47",PROGRAMACAO -SOMENTE NATURAL
PORTO FINO MAQUINETADO 100%ALGODAO,PA LISO 1100,"13,68",SOMENTE PRONTA ENTREGA
PROVANCE FLAME 100% ALGODAO,PA LISO 1109,"13,3",LANCAMENTO - PROGRAMACAO
SARJA BYSKAY FLEX 97% ALG 3% ELAS,PA LISO 1097,"17,26",SOMENTE PRONTA ENTREGA  -SEM REPOSICAO
SARJA CARIBE FLEX (DIGITAL) 97% AL3% ELA,PA DIG EST 1017,"22,02",PROGRAMACAO
SARJA CARIBE LIGHT 97% ALG 3% ELAS,PA LISO 1024,"18,15",PROGRAMACAO
SARJA FLEX 160 97% ALG 3% ELAS,PA LISO 1033,"18,15",PROGRAMACAO
SARJA NATURE 170 78%AL 15%VIS 5%LIN 2%EL,PA LISO 1114,"19,05",PROGRAMACAO
SARJA NATURE 78%ALG 15%VIS 5%LIN 2%ELA,PA LISO 1006,"19,05",PROGRAMACAO
