artigo,codigo,descricao,icms_18,icms_12,icms_7,ret_mg,observacao
ARIZONA TWO TONER (2) 2X2  , EST 1057,ARIZONA TWO TONER (2) 2X2 100% ALGODAO,19.3,18.9,18.3,17.26,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
CHAMBRAY TWO TONE LISO, LISO 1032,CHAMBRAY TWO TONE 100% ALGODAO,15.9,15.5,14.9,14.22,PROGRAMACAO
CHAMBRAY TWO TONE 160  LISO, LISO 1113,CHAMBRAY TWO TONE 160 100% ALGODAO,15.9,15.5,14.9,14.22,PROGRAMACAO
CIERRO LINHO LISO, LISO 1103,CIERRO LINHO 85% ALGODAO 15% LINHO,16.2,15.8,15.2,14.49,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
CIERRO RUSTIC LISO, LISO 1102,CIERRO RUSTIC 100%ALGODAO,15.3,14.9,14.3,13.68,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
COTTON PAPER LISO, LISO 1106,COTTON PAPER 100% ALGODAO,15.8,14.9,14.15,13.35,LANCAMENTO - PROGRAMACAO
FINE FLEX JEANS LISO, LISO 1004,FINE FLEX JEANS 65% ALG 32% POL 3% ELAS,17.91,16.9,16.05,15.64,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO BELGA LISO, LISO 1089,LINHO BELGA 60% ALGODAO 40% LINHO,18.9,18.5,17.1,16.9,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO CARAIVA LISO, LISO 1107,LINHO CARAIVA 55%ALG 30%VIS 15%LIN,19.9,18.7,17.76,17.8,LANCAMENTO - PROGRAMACAO
LINHO DELUXE (DIGITAL), DIG EST 1002,LINHO DELUXE (DIGITAL) 55%AL 30%VI 15%LI,22,22,22,19.67,PROGRAMACAO
LINHO DELUXE EST, EST 1002,LINHO DELUXE 55% ALG 30% VISC 15% LINHO,15.9,15.6,15,14.22,PROGRAMACAO
LINHO DELUXE LISO, LISO 1002,LINHO DELUXE 55%ALG 30%VISC 15%LIN,15.3,14.9,14.3,13.68,PROGRAMACAO
LINHO DELUXE MAQ LISO, LISO 1021,LINHO DELUXE MAQUINETADO 55%AL30%VIS15%L,15.9,15.4,14.98,14.22,PROGRAMACAO
LINHO IPANEMA LISO, LISO 1053,LINHO IPANEMA 55% ALGO 20% VISC 25% LINH,18.97,17.9,,16.96,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO IPANEMA DIG, DIG EST 1053,LINHO IPANEMA 55%ALG 20%VIS 25%LIN,20.9,20.9,20.9,18.69,SOMENTE EXCLUSIVO
LINHO IPANEMA EST, EST 1053,LINHO IPANEMA 55%ALGODAO 20%VISCO 25%LIN,18.97,17.9,17,16.96,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LINHO PANAMA (DIGITAL) , DIG EST 1044,LINHO PANAMA (DIGITAL) ,20.9,20.9,20.9,18.69,PROGRAMACAO
LINHO PANAMA EST, EST 1044,LINHO PANAMA 55% ALG 15% LINHO 30% VISCO,16.73,15.5,14.9,14.96,PROGRAMACAO
LINHO PANAMA LISO, LISO 1044,LINHO PANAMA 55%ALG 15%LIN 30%VIS,16.73,15.5,14.9,14.96,PROGRAMACAO
LINHO RUSTIC EST, EST 1092,LINHO RUSTIC 55% ALG 15% LIN 30% VIS,16.73,,,14.96,LANCAMENTO - PROGRAMACAO
LINHO XADREZ EST, EST 1073,LINHO XADREZ 60% ALG 25% VIS 15% LINHO,,16.9,,,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
LISTRADO MEDIO 0.6 X 0.6, EST 1104,LISTRADO MEDIO 0.6 X 0.6 100% ALGODAO,17.9,16.9,16.05,16.01,PROGRAMACAO
LISTRADO MEDIO ALVEJADO 0.6X0.6  EST, EST 1108,LISTRADO MEDIO ALVEJADO 0.6X0.6 100% ALG,17.9,16.9,16.05,16.01,PROGRAMACAO
MAQTTON LINHO LISO, LISO 1098,MAQTTON LINHO 55%ALG 30%VISC 15%LIN,16.2,15.8,15.2,14.49,PROGRAMACAO
MAQTTON RUSTIC LISO, LISO 1038,MAQTTON RUSTIC 100%ALGODAO,15.3,14.9,14.3,13.68,PRONTA ENTREGA - AGUARDAR UMA NOVA PROGRAMACAO
PANAMA C/ ELAS LISO, LISO 1052,PANAMA C/ ELAS 70%ALG 15%LIN 12%VIS 3%EL,17.3,16.9,16.3,15.47,PROGRAMACAO -SOMENTE NATURAL
PORTO FINO MAQ LISO, LISO 1100,PORTO FINO MAQUINETADO 100%ALGODAO,15.3,14.9,14.3,13.68,SOMENTE PRONTA ENTREGA
PROVANCE FLAME  LISO, LISO 1109,PROVANCE FLAME 100% ALGODAO,14.81,14.4,13.32,13.3,LANCAMENTO - PROGRAMACAO
SARJA BYSKAY FLEX LISO, LISO 1097,SARJA BYSKAY FLEX 97% ALG 3% ELAS,19.3,18.9,18.3,17.26,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
SARJA CARIBE FLEX (DIGITAL) , DIG EST 1017,SARJA CARIBE FLEX (DIGITAL) ,,25.9,24.62,22.02,PROGRAMACAO
SARJA CARIBE FLEX LISO, LISO 1017,SARJA CARIBE FLEX 97% ALG 3% ELAS,20.3,19.3,,,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
SARJA CARIBE LIGHT LISO, LISO 1024,SARJA CARIBE LIGHT 97% ALG 3% ELAS,20.3,19.9,19.3,18.15,PROGRAMACAO
SARJA FLEX 160 (DIGITAL) , DIG EST 1033,SARJA FLEX 160 (DIGITAL) 97% ALG 3% ELAS,,25.9,,,PROGRAMACAO
SARJA FLEX 160 LISO, LISO 1033,SARJA FLEX 160 97% ALG 3% ELAS,20.3,19.9,19.3,18.15,PROGRAMACAO
SARJA NATURE 170 , LISO 1114,SARJA NATURE 170 78%AL 15%VIS 5%LIN 2%EL,21.3,20.9,21.3,19.05,PROGRAMACAO
SARJA NATURE LISO, LISO 1006,SARJA NATURE 78%ALG 15%VIS 5%LIN 2%ELA,21.3,20.9,20.3,19.05,PROGRAMACAO
SARJA ZARA (DIGITAL)  , DIG EST 1045,SARJA ZARA (DIGITAL) 100% ALGODAO,21.03,22,21.03,18.81,PROGRAMACAO
SARJA ZARA  EST, EST 1045,SARJA ZARA 100% ALGODAO,,15.3,14.8,,PROGRAMACAO
SARJA ZARA LISO, LISO 1045,SARJA ZARA 100% ALGODAO,15.3,14.9,14.3,13.68,PROGRAMACAO
SIERRA LINHO MAQ LISO, LISO 1105,SIERRA LINHO MAQUINETADO 93.3%ALG 6.7%LI,16.5,16.1,15.5,14.49,SOMENTE PRONTA ENTREGA -SEM REPOSICAO
